Issuer Name,Issuer location,,Issuer sector,Bond type,Bonds per type,Amount issued (USD bn.),Lastest External Review Form,Last Url Form,External  Reviewer,Latest External Review Report
ALEX ENERGIA PARTICIPACOES SA,Brazil,,Financials - Financial services,Green,1,0.08bn,November 2022,https://dl.luxse.com/dl?v=ZOXvYxmaKu/Gd6TX7hk9+VJk9wHFD35R0d5eRkse7PV8JwTerWhGDP3pK1XrRLkxE/OAjWxL0x3DAdci5MWCi8NQVHpSRPwOukr8lZKhF54hs4Y5I7dvGjLXcwu2e9BZ,Other,November 2022
ALEXANDRIA REAL ESTATE EQUITIES INC,United States,,Financials - Real estate,Green,5,2.85bn,,,,
ALFRESA HOLDINGS CORP,Japan,,Corporate - Health Care,Social,1,0.14bn,,,R&I,November 2023
ALGAR TELECOM SA,Brazil,,Corporate - Communications,Sustainability Linked Bonds,1,0.14bn,,,Bureau Veritas,October 2023
ALGONQUIN POWER CO,Canada,,Corporate - Utilities,Green,2,0.54bn,June 2020,https://dl.luxse.com/dl?v=Do87UIAobURJ/nOGka2A0NHiQLLFRA698w7tfTWo/T1CaruQ0wBnuKmG+VtyvsjSJPGNWlDcJPQJhXwc1PqQyw/FbLgV+1oimViIRd3M83SwWwaZrbHSD0swEbeFxH+n,Sustainalytics,June 2020
ALIANCA GERACAO DE ENERGIA SA,Brazil,,Corporate - Utilities,Green,1,0.07bn,October 2023,https://dl.luxse.com/dl?v=jmpxjmWNkHI6svjytlZzGSIAfM87RD3DCMYEIR0KlQYb/4Ta6o3qJFOqejM85Isfigso0Zc+Y+OvLJtT5X79BA15I91mJKGAj0EFNUfuhiYaOvgGmnCbPN28D++L2diL,Other,October 2023
ALIBABA GROUP HOLDING LTD,Cayman Islands,,Corporate - Consumer Discretionary,Sustainability,1,1.00bn,February 2021,https://dl.luxse.com/dl?v=Ta9G/irkm4OlxAN/bJZSstt6xzrQyVAXaGGEYD6Rg8BL03KMwIH6z0qPKZye/zb5bLWK16yh8OEh6lAMr3Op/sYl2Uf0Z/SABy1EAimy3cJOYJYTvxhJEbES66HzL1LP,Sustainalytics,February 2021
ALIMENTATION COUCHE-TARD INC,Canada,,Corporate - Consumer Staples,Green,2,0.35bn,,,ISS ESG,May 2021
ALLGEMEINE BAUGENOSSENSCHAFT ZUERICH,Switzerland,,Financials - Real estate,Sustainability,1,0.13bn,,,ISS ESG,August 2021
ALLGEMEINE SPARKASSE OBEROESTERREICH BANK AG,Austria,,Financials - Banking,Green,3,0.02bn,,,ISS ESG,May 2021
ALLGEMEINE SPARKASSE OBEROESTERREICH BANK AG,Austria,,Financials - Banking,Sustainability,6,0.25bn,,,ISS ESG,May 2021
ALLIANDER FINANCE B.V.,Netherlands,,Corporate - Utilities,Green,4,1.34bn,,,ISS ESG,June 2020
ALLIANDER N.V.,Netherlands,,Corporate - Utilities,Green,4,2.41bn,,,ISS ESG,August 2022
ALLIED PROPERTIES REAL ESTATE INVESTMENT TRUST,Canada,,Financials - Real estate,Green,2,0.87bn,February 2020,https://dl.luxse.com/dl?v=xeX1qg646AmKbuXkynKNcS+eYshQpC6GnY/vpZYoIyUKYThG4wcCRGmK8nLHBNuCIcX0q/q9LagNl/8TpaHfqUmcqMvLFt2GNspTuYsgUwnzWoEbh0moul+m2g9LqA9K,Sustainalytics,February 2020
ALLREAL HOLDING AG,Switzerland,,Financials - Real estate,Green,2,0.33bn,August 2022,https://dl.luxse.com/dl?v=K2H4bqcj5GqcK8UHMHnJubMgwspJYJyPK22O6Ls62mCxssFQ2zceg9yU/Zb4CT076COvgHAmbn5q6426kjnDsiBIPGR9y1Eb8P0G6yX8ooRDNSfc2R3PpfGmVYifQnWO,Sustainalytics,August 2022
ALPERIA SPA,Italy,,Corporate - Utilities,Green,4,1.09bn,,,DNV GL,April 2024
ALPHABET INC,United States,,Corporate - Communications,Sustainability,3,5.75bn,July 2020,https://dl.luxse.com/dl?v=DuFAiMCvcq1EFCdeXdnPXI5CrqjExzjuRLAQyiV/NHqI1K5BiGg5UxJvFAdx7RnMSYR/cgXPubSY7IyaoDgHF/iwFmPwQsuRYgFl4prJtclaRvqd7fN+CXFo9kT8S7OJ,Sustainalytics,July 2020
AMAG LEASING AG,Switzerland,,Corporate - Consumer Discretionary,Green,7,1.27bn,August 2021,https://dl.luxse.com/dl?v=UXsNKL3/mIdb+lx21MtohcjyJOcmg/OYNOdSxuvJMrkQQFpNo67FWmlTSuJIUVsFkAjJD3IhqLSqTyclWuUHLJ7EMIRlBTG7JvZkqSMi1FziEE2nTvnU+9Qiq1nUOZof,Sustainalytics,August 2021
AMAGGI LUXEMBOURG INTERNATIONAL SARL,Luxembourg,,Corporate - Consumer Staples,Sustainability,2,0.75bn,December 2020,https://dl.luxse.com/dl?v=n/IoOe9CebrGR2FybBjmrLkeAs+3YpYV6KseUKbxrJdOLxHeA2UAXN0dexnTZmn01B4xld1SzlvUg/M7jLuc8tNwKdrrVm4flABw9yOuBjSbKbWsot5D145RPtQVdbGw,Sustainalytics,December 2020
AMANAT LEBUHRAYA RAKYAT BHD,Malaysia,,Corporate - Industrials,Sustainability,12,1.13bn,May 2022,https://dl.luxse.com/dl?v=yD/Xf6xbGeUr5xD6H3+IMyoc531PnMlJvXvyk887BBbJ/2T3IbnmS8/lh5aN0D9ING772424WlhQLdql7Ben1YpGUFKBQSKQSgqu+384wOJsMbugEFJ6Ef+9f8Z8OEFL,RAM,May 2022
AMBIPAR LUX SARL,Luxembourg,,Corporate - Industrials,Green,2,0.75bn,August 2022,https://dl.luxse.com/dl?v=Mj+ZkJAysJameljjBuKuvK+M8HvMdlyOLbq92S2Bc60gCNCaY8/nsi9xGDhX5o5yKAAlFgN+rcWxkfMko5wgdcGrNF97I6EdsT371QP2XT+5AxgWLiEiwt618NjaxIkd,Sustainalytics,August 2022
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,Brazil,,Corporate - Utilities,Sustainability,2,0.26bn,August 2022,https://dl.luxse.com/dl?v=x8FMfTbZmI+PoT0uijBL6yeV1L554foHVNLiAgF5p58dxTpdEZ9rPhrWzg+zdavPk64474YAmwR7WZPqTguwP5jl+jeMNg5PL9vGuI5BCMuHwgKaIf/urQlqUwUxzxQx,Sustainalytics,August 2022
AMEREN ILLINOIS CO,United States,,Corporate - Utilities,Green,2,0.70bn,,,S&P,June 2021
AMEREN MISSOURI SECURITIZATION FUNDING I LLC,United States,,Corporate - Utilities,Green,1,0.48bn,,,S&P,December 2024
AMERIABANK,Armenia,,Financials - Banking,Green,1,0.05bn,November 2020,https://dl.luxse.com/dl?v=7FyhOxS63Ljc4hITYpQ8sPtuSEIfPQMPyZ0Rj2LqkvMoKHtJdj4G2u4teuB6jvhYIiYB7+3F0LZ1XwtcSvvTHa+Rev3N4DtVNswy9A3NtoeQR3Ni6neWgg+oHLx2/5vo,Sustainalytics,November 2020
"AMERICA MOVIL, S.A.B. DE C.V.",Mexico,,Corporate - Communications,Sustainability,4,2.98bn,,,S&P,November 2022
AMERICAN EXPRESS COMPANY,United States,,Financials - Consumer Finance,Sustainability,1,1.00bn,,,Moody's,April 2022
AMERICAN HOMES 4 RENT LP,United States,,Financials - Real estate,Green,1,0.60bn,,,Sustainalytics,December 2023
AMGEN INC.,United States,,Corporate - Health Care,Green,1,0.75bn,,,S&P,February 2022
AMIPEACE LTD,Virgin Islands,,Financials - Financial services,Green,1,0.60bn,,,Moody's,November 2021
AMPRION GMBH,Germany,,Corporate - Utilities,Green,8,5.40bn,August 2022,https://dl.luxse.com/dl?v=tp0fGIS2gzFxqt10Ai1g8/uldWcs4pduQ3wuhJ2Ml8evZjfxrFX/WGGtaL+rHdxarOKljAYUXaCUWszfE0uYWTCKsLudN4AQJP2zBzOUpjL8OdSGgHgNhcASizPjfUjj,Sustainalytics,August 2022
AMVEST RCF CUSTODIAN BV,Netherlands,,Financials - Financial services,Green,1,0.33bn,,,Sustainalytics,September 2024
ANA HOLDINGS INC,Japan,,Corporate - Consumer Discretionary,Green,1,0.09bn,October 2018,https://dl.luxse.com/dl?v=rW8iUmuXHxaGPJ87GVatjmM7cG7Z5Ak+/BzxGJHrjj44MZ0j3scilD6Q45yZUVBZV0uUhWQwgYRoG10R0xASQlB8rJzHcS5WyN27RBjcnxDFTxZCmfB52c3f6iWJ7BSe,R&I,October 2018
ANA HOLDINGS INC,Japan,,Corporate - Consumer Discretionary,Social,1,0.05bn,September 2018,https://dl.luxse.com/dl?v=DKFo/40XDefKM+QSCWAZSzCvdwmx/GFTu7B5zfeL82bKvd4XNVtv1hjjSjpHS0tXJNgoHI+mRNHITKBpGs0VSvzdmT+zfVBLbZLXwMEg3b63Fs9T+Q5Vcs3WTC6sIws6,Japan Credit Rating Agency,April 2019
ANA HOLDINGS INC,Japan,,Corporate - Consumer Discretionary,Sustainability Linked Bonds,1,0.18bn,,,R&I,May 2021
ANALOG DEVICES INC,United States,,Corporate - Technology,Green,1,0.40bn,March 2020,https://dl.luxse.com/dl?v=xHfG2dN2CCnef3hzNeuJ1HystbQ3Oj3jYzCbxa0j/xq98SoXtymmVCB9hfZZ7sGCgaFhi765p7vra9ZxXJG7lfHzPi1VAgt5emyE42vtNHKwPsCZh3Ru1VPfQ7f5j/bK,Sustainalytics,March 2020
ANALOG DEVICES INC,United States,,Corporate - Technology,Sustainability Linked Bonds,1,0.75bn,,,DNV GL,September 2021
ANCHOR HANOVER GROUP,United Kingdom,,Financials - Real estate,Sustainability,1,0.62bn,,,DNV GL,May 2021
ANDREW W MELLON FOUNDATION/THE,United States,,Financials - Consumer Finance,Social,1,0.30bn,,,,
ANEMUS WIND HOLDING SA,Brazil,,Corporate - Utilities,Green,1,0.09bn,May 2021,https://dl.luxse.com/dl?v=q8u8yMlM7Rpur36FZwmHgnye6uAMfwV25rVyFZ7fMuH/5z9etQ0/I/qqax6BV9sH+rJSHIZrCzW6aSTlvKzGP3Xl2jh0d3HudWOib736EIrLDS/u0oWqbRIsAs3lLNAk,Sitawi,May 2021
ANGEL OAK MORTGAGE TRUST 2021-3,United States,,Financials - Specialty finance,Social,7,0.30bn,,,ISS ESG,April 2021
ANGEL OAK MORTGAGE TRUST 2022-5,United States,,Financials - Specialty finance,Social,7,0.35bn,,,ISS ESG,April 2021
ANGLIAN WATER OSPREY FINANCING PLC,United Kingdom,,Corporate - Utilities,Sustainability Linked Bonds,1,0.42bn,,,DNV GL,May 2021
ANGLIAN WATER SERVICES FINANCING PLC,United Kingdom,,Corporate - Utilities,Green,17,4.62bn,,,DNV GL,February 2024
ANGLO AMERICAN PLC,United Kingdom,,Corporate - Materials,Sustainability Linked Bonds,1,0.76bn,,,ISS ESG,September 2022
ANHUI PROVINCE ENERGY GROUP CO LTD,China (mainland),,Corporate - Utilities,Green,1,0.10bn,,,,
ANSAN URBAN CORP,Korea,,Financials - Real estate,Green,1,0.02bn,,,Korea Ratings,August 2024
ANSAN URBAN CORP,Korea,,Financials - Real estate,Social,4,0.13bn,,,Korea Investors Service,December 2024
ANSTEEL GROUP MINING CO LTD,China (mainland),,Corporate - Materials,Green,1,0.03bn,,,China Lianhe,February 2022
ANYANG IRON & STEEL GROUP CO LTD,China (mainland),,Corporate - Materials,Sustainability Linked Bonds,1,0.08bn,,,China Lianhe,March 2024
ANZ NEW ZEALAND (INT'L) LTD LONDON BRANCH,United Kingdom,,Financials - Banking,Sustainability,1,0.54bn,August 2020,https://dl.luxse.com/dl?v=/cWlFxfKFddriqVgyDgAwzlEbaee1Wd6JVY6anYI6fZCfxk6z+VEFLuxu5+fJQ+VEK6OoV/XCEQ8SlzX+kJkNVEB7WgphXFN6xVYyg1WC8A/IPMEsXUsJ1Raog+3qztX,Sustainalytics,August 2020
AOC I DIE STADTENTWICKLER GMBH,Germany,,Financials - Real estate,Green,1,0.03bn,October 2022,https://dl.luxse.com/dl?v=lbLDalXejj7Lqn/36hF8rEM0wVbV+f1VpoOlPFS57Tk9dWtgKNxEAODmre8vgY0yNNmJrF7v2h5sPt94bF1XlvdP2+2e//LD7zTZ+3af3UvBsRSowNp4/TZRojMqsIfo,Imug,January 2022
AOZORA BANK LTD,Japan,,Financials - Banking,Green,3,0.70bn,January 2021,https://dl.luxse.com/dl?v=NStJLtHe1ErrTM1GDfaDJXQ1OxaqmNdC/aaAujFKz/k504HBW3eZi6V6/W7e/34iKQhsCexVAQWKtnBzQGCzAxTWBSNdGKLqmtrpsmqsvUuE+KKxms8xfeFVcsF7IhdS,Sustainalytics,January 2021
APEIRON AGROCOMMODITIES PTE LTD,Malta,,Corporate - Energy,Green,1,0.04bn,May 2023,https://dl.luxse.com/dl?v=3c3h1SoSINEnPhonimw2v2ZW6lJCg7/VbRfwsx5zjgAvX9ewDJ6dPVLKsIlLb5MmFGbvVCp1EqSwxAs4+9BDwRvVcfdcMwbNm8mxOglVpjl+VoN841uOVgy2WDpkkthr,Sustainalytics,May 2023
APPLE INC.,United States,,Corporate - Technology,Green,3,3.22bn,November 2019,https://dl.luxse.com/dl?v=gUAFBlSeKkTvJVv378j31FknsJmNvNotSWhGM5lRbl1tZeTn8awUcgUj/Y2kswv7beqgziUh33ygqkpxnsF92+vKsuAQQ96JQ817tWnz3IV2XBVoIvD2l2ebsaxt5N/h,Sustainalytics,November 2019
AQUAFIN NV,Belgium,,Corporate - Industrials,Green,11,0.26bn,March 2020,https://dl.luxse.com/dl?v=Ysu7yBznR8Ay71GjrfiOLoKM308odkmvVBYM4NnXy8f+ImLH8wm7cwdtw/sfX2eFZiO2ih/Oth67GuGENLnwODab/0ha1gjoaa4ESRasKmMD50i0EVQctJWB6risvlbp,Sustainalytics,March 2020
ARAB BANK FOR ECONOMIC DEVELOPMENT IN AFRICA,Supranationals,,SSA - Supranationals,Social,1,0.54bn,,,ISS ESG,November 2023
ARAB BANK PLC,Jordan,,Financials - Banking,Sustainability,1,0.25bn,,,S&P,November 2022
ARAB PETROLEUM INVESTMENTS CORP,Supranationals,,SSA - Supranationals,Green,4,1.50bn,,,Moody's,October 2023
ARAKAWA CHEMICAL INDUSTRIES LTD,Japan,,Corporate - Materials,Sustainability Linked Bonds,1,0.04bn,,,Japan Credit Rating Agency,October 2021
ARBEJDERNES LANDSBANK AS,Denmark,,Financials - Banking,Green,2,0.47bn,July 2023,https://dl.luxse.com/dl?v=Ab2CBWx0nbcCt6Ih8resmncHQtQ5+uGqyerpAhby0Z+cVJ+B764RzYwull0D3BaL5ZyW6WN0uHuUSG7KUEOPm+iqPrqpHrnCO4tvDrRgfjQZws+/9pKGy6ns19HAnuBz,Sustainalytics,July 2023
ARBORG,Iceland,,SSA - Quasi-sovereigns,Green,1,0.01bn,June 2021,https://dl.luxse.com/dl?v=34p6hLXmd4hC4F0EWGM5S0a/EYqrwEDr0zblPzpy1DSlk5V0YVXpXX1Jf1h/yWTX7WUdei4VL0mW1PIjR5CPGwVSMVEi904Oq5KeBjMGZOJrr45WzIEHdnEteWzQo/j/,Sustainalytics,June 2021
ARCA CONTINENTAL BEBIDAS S DE RL DE CV,Mexico,,Corporate - Consumer Staples,Green,2,0.23bn,April 2021,https://dl.luxse.com/dl?v=945o52LAqCjx1wzy7cWxCKSJb9zDmTri+wBFEI35T1aOrlzWuphdeFhtCO3ngdHLS4zkQc5nfG4BoPCbFB2fFEs8VXQn3uXMAiIy+M7aVHIVmuLXdUvJlrK7XCZVeXH/,Sustainalytics,April 2021
ARCA CONTINENTAL BEBIDAS S DE RL DE CV,Mexico,,Corporate - Consumer Staples,Sustainability Linked Bonds,2,0.45bn,,,S&P,March 2024
ARÇELIK  AS,Turkey,,Corporate - Consumer Discretionary,Green,1,0.43bn,May 2021,https://dl.luxse.com/dl?v=l765Y+4Trzf4pExKZVwpW13dGAPGF+HVUBo/P0nep5Fr++n2NiMjb8uQqK7TWv2B2tgTlQZwE2RlYMFGkGevvb2yQ5c7IJoHGQtfZB4A5UI1lnPbj7AlFEPbNl25jOJ+,Sustainalytics,May 2021
ARCHER-DANIELS-MIDLAND CO,United States,,Corporate - Consumer Staples,Sustainability,1,0.75bn,,,S&P,February 2022
ARCOS DORADOS B.V.,Netherlands,,Corporate - Consumer Discretionary,Sustainability Linked Bonds,2,0.35bn,April 2022,https://dl.luxse.com/dl?v=C6P9hDiOj7TZNfq7Xd/PIEjkqq1vxHxA4lSCs0XiRepxGdTgVNvsuQxSvxyvsaRcu4aBqgM+b2tpDX1ja5N3RvZUoBqNPmG0bdOXD+O2jz+rVUvK+2xswIxQ+xGchpeG,Sustainalytics,October 2023
ARDAGH METAL PACKAGING FINANCE PLC,Ireland,,Corporate - Materials,Green,10,3.39bn,,,ISS ESG,February 2021
ARENDALS FOSSEKOMPANI A/S,Norway,,Corporate - Utilities,Green,1,0.06bn,,,Cicero,February 2021
ARGENTA SPAARBANK N.V.,Belgium,,Financials - Banking,Green,4,2.81bn,January 2022,https://dl.luxse.com/dl?v=7C5OQ56iVGUlkSOLQBxqdIg2m7RItH3S4rf4ElUGO2y9CGf9iSkIFKLGRi27FP/VmNTa3K/8sLEBlPttTyktQQnMoPlzXsbCt8eQ9OYNQKhJp3Et5Gkhprw3+5MSSvCx,Sustainalytics,January 2022
ARGOSY PROPERTY LTD,New Zealand,,Financials - Real estate,Green,3,0.22bn,,,EY,October 2020
ARION BANK HF,Iceland,,Financials - Banking,Green,4,0.50bn,,,ISS ESG,June 2024
ARISE AB,Sweden,,Corporate - Utilities,Green,1,0.05bn,,,Cicero,February 2022
ARKEA HOME LOANS SFH,France,,Financials - Consumer Finance,Green,1,1.07bn,,,V.E,February 2022
ARKEMA SA,France,,Corporate - Materials,Green,1,0.35bn,October 2020,https://dl.luxse.com/dl?v=NGP+5NdyDNeLJuWzZICQNedz8mx7ePMqJOoaDosM4S0AarMd970Yvo7XJU1yKMcb63g64qAdHzAt3xu/RojAQrAetxXWA1WAEy5DJH6kH6oijSy7H57xz6dulTogb/sN,V.E,October 2020
ARLA FOODS AMBA,Denmark,,Corporate - Consumer Staples,Green,1,0.18bn,February 2020,https://dl.luxse.com/dl?v=64hcJJYO/idsm00ZNWjSLiwO2KKIsXnAyqgFjX+OE4HO9PLZ/FkkZjyqBOC9IwD14yDznVnEHGZH9GcnSo/wej55vY9IEpTCGhBywOIN1kL8v4Tf4NE2pRxkomHjqoRB,Sustainalytics,February 2020
ARRIVAL SA,Luxembourg,,Corporate - Industrials,Green,1,0.32bn,,,,
ARVA AS,Norway,,Corporate - Utilities,Green,2,0.09bn,,,Cicero,June 2023
ARWIDSRO FASTIGHETS AB,Sweden,,Financials - Real estate,Green,4,0.17bn,September 2020,https://dl.luxse.com/dl?v=MpXGTKNGSri52Q2kfaCPUSKLxzgghDFL610mdpQeKfmZ3petsvsYoRjZEnmQUzI+6kg8gef48GXTVsvsf+3mTSjoqDUNdfBSVYPf/R9mxAZi7Dp4v5H51PFTGm7mm9va,Cicero,July 2023
ASAHI GROUP HOLDINGS LTD,Japan,,Corporate - Consumer Staples,Green,2,0.28bn,September 2020,https://dl.luxse.com/dl?v=Wr5TZ5NsqlOkxTr5P5BT5+B1ERf0Gdrs4VFZKVJ5Y+gLjNhcoU2H9OKXacCdXd84Ejda6SSRU4xw/eGzu55Qfr1k8vUhg3D6xlYeNCXvzTC3qz4l39QuSevH1Fj2C/GS,Japan Credit Rating Agency,February 2023
ASAHI HOLDINGS INC,Japan,,Corporate - Industrials,Green,1,0.05bn,March 2020,https://dl.luxse.com/dl?v=QDMiJe7OWvMnVLIqUwAdfvNNIcVghNKogxuOg/T8HPkKFMlrE7W6bK32I6iFZoYNQdzD4uBthoZNBmjEJTuneJ8hE9lo/omziwHuwnxQgjePy1q6EbYSyXFX+TgbsrPo,R&I,March 2020
ASAHI KASEI CORP,Japan,,Corporate - Materials,Green,2,0.23bn,March 2020,https://dl.luxse.com/dl?v=sN30F1M+Bcip0/M/GFB3hUzvQR8xFx69XA7xa0sgJD7VWo9HioSn6BAhj9yucxR4X6oIjfnvwPJ9XYQ0X4J/M9H9z38/i/s2sALqpWlrfNsueBoinkzB6Pl1/qburVry,R&I,November 2023
ASAHI PRINTING CO LTD,Japan,,Corporate - Materials,Green,1,0.03bn,,,Japan Credit Rating Agency,January 2022
ASCENDAS REAL ESTATE INVESTMENT TRUST,Singapore,,Financials - Real estate,Green,5,0.76bn,,,EY,August 2020
ASCOTT REIT MTN PTE LTD,Singapore,,Financials - Real estate,Sustainability Linked Bonds,2,0.26bn,,,V.E,February 2022
ASIAN DEVELOPMENT BANK,Supranationals,,SSA - Supranationals,Green,39,9.43bn,,,Cicero,August 2021
ASIAN DEVELOPMENT BANK,Supranationals,,SSA - Supranationals,Social,1,0.01bn,,,,
ASICS CORP,Japan,,Corporate - Consumer Discretionary,Sustainability Linked Bonds,1,0.09bn,,,,
ASJA AMBIENTE ITALIA,Italy,,Corporate - Energy,Green,1,0.02bn,,,Other,November 2019
ASKIM & SPYDEBERG SPAREBANK,Norway,,Financials - Banking,Green,1,0.02bn,,,S&P,March 2024
ASML HOLDING N.V.,Netherlands,,Corporate - Technology,Green,1,0.53bn,,,ISS ESG,May 2022
ASOCIACION CIVIL SUMATORIA PARA UNA NUEVA ECONOMIA,Argentina,,Corporate - Technology,Sustainability,2,0.00bn,,,Other,January 2024
ASR NEDERLAND NV,Netherlands,,Financials - Insurance,Green,1,0.65bn,,,Sustainalytics,August 2022
ASSICURAZIONI GENERALI S.P.A.,Italy,,Financials - Insurance,Green,8,5.00bn,December 2023,https://dl.luxse.com/dl?v=r82dm4cMCAyymfYHaEBWF/NnGaNihxaC7HdkNjxDYKqGO4VfTsEQa7CVE9CjAtnPfOmuPX5yGI1iy4KpeVSPNRqEZr+aOK9gr+Jg/LRHFlrbx3kiwg2BNH5FjfG3yPZ7,Sustainalytics,December 2023
ASSICURAZIONI GENERALI S.P.A.,Italy,,Financials - Insurance,Sustainability,1,0.59bn,June 2021,https://dl.luxse.com/dl?v=UnrXLwWkFjHbXkGba5O1J3zyvJmL4a0USSXCRcq+0aKpLBQo/zldWFjBC65XvcoCyY6r8dlsulxaK9d6/NzCmoo3965hdVDc0rXvJi/eDkswzIiXDCNj2+lU8aSSFKTU,Sustainalytics,June 2021
ASSISTANCE PUBLIQUE HOPITAUX DE PARIS,France,,SSA - Agencies,Social,12,0.68bn,,,V.E,February 2021
ASSURA FINANCING PLC,United Kingdom,,Financials - Real estate,Social,1,0.38bn,,,ISS ESG,September 2020
ASSURA FINANCING PLC,United Kingdom,,Financials - Real estate,Sustainability,1,0.42bn,,,ISS ESG,June 2021
ASTER TREASURY PLC,United Kingdom,,Financials - Real estate,Sustainability,2,0.66bn,December 2020,https://dl.luxse.com/dl?v=tjKOWUVRvhvcbS+thM9ghq1IB1JSUJZ/RGrUgTB53pwoHSufJADHhIz/hzsFc02yNRo6qvRNtFQy+4LpCnpRreKCeqS1vWuecPrUrYXPICMCv0liVHzHrad9SvUgWhkn,S&P,January 2021
ASTM SPA,Italy,,Corporate - Industrials,Sustainability Linked Bonds,3,3.39bn,,,V.E,November 2021
ATENOR,Belgium,,Financials - Real estate,Green,3,0.18bn,,,ISS ESG,February 2022
ATHON ENERGIA SA,Brazil,,Corporate - Energy,Green,1,0.02bn,July 2020,https://dl.luxse.com/dl?v=DKFo/40XDefKM+QSCWAZS4VDuevntMasaJ4W6c+H9g8Fq48BKHpOtlXKpxEXKfFrQYvDmj130NyPnqK9WhYytFMs/V05zMo5ToJnUJbPJ5xool5jq97UPId2WZsxlTtJ,Sitawi,June 2021
ATHON GERACAO DISTRIBUIDA SA,Brazil,,Corporate - Energy,Green,1,0.02bn,July 2020,https://dl.luxse.com/dl?v=N6Nb1WAsSk/myaE6NbJRvaTl4SvR4OqoLQ5zKhXEn1PCf+yy/OxvycDf4zsOhJzHFxpJAgq2xEc7jUMtRLoxsxT0wS4SiwdrU6zITCrXwBiWVJSGI+RyvD6ap5P8Xvwx,Sitawi,June 2021
ATLANTICA SUSTAINABLE INFRASTRUCTURE JERSEY LTD,Jersey,,Corporate - Utilities,Green,2,0.23bn,March 2020,https://dl.luxse.com/dl?v=ZQVToLgA+NUgD69y2uvibZ88IvALPoGjNeQHEMYjlWB1CfWyGvqYyraRPDsd7M6Fj7nbRTi01+RWr+UCKcerWy7SCmL+DEh1h3JCjQ9OV2LBoX/ucjUNnmlvCivX3P7y,Sustainalytics,March 2020
ATLANTICA YIELD PLC,United Kingdom,,Corporate - Utilities,Green,2,0.40bn,March 2020,https://dl.luxse.com/dl?v=zLintf1HnP6a6YyJGTBr8HlGycTz+vtb3wgI6UlPsA5DCpMwUercG5FZRGJuaSV6CHHyHwpFNapxAGxRbg1e+++dE04wzjFbaCWkEFQ6+C1Nnc1NP0QYHIYeMrf+ztUo,Sustainalytics,March 2020
ATOS SE,France,,Corporate - Technology,Sustainability Linked Bonds,1,0.93bn,October 2021,https://dl.luxse.com/dl?v=ZE9LiSCgC1Ev3jIu7Dh1PfifuKVsUXLZM7AsxoI74WMQCSE/hRKmOKiXzgHx9hU2yvgw+tbtoSF4S0kxJv/IpqoLzPK1raaLC5+yEMPU6Ea0ilhy5xVxbrMIO+mxMQvf,Sustainalytics,October 2021
ATRIUM FINANCE PLC,Cyprus,,Financials - Specialty finance,Green,1,0.36bn,February 2020,https://dl.luxse.com/dl?v=+H7GzbTEOWEZi0h+IfqJF3peLe8cHv/AlWMQA/tb9bc2mokivqImBJSRrLfYKzXfN0oHoa3Q/9iQ24YvYMcTjDv17y7R1KlmhXApTEIOjJW5DnwFea3IHzkIF75t0t/p,Sustainalytics,February 2020
ATRIUM LJUNGBERG AB,Sweden,,Financials - Real estate,Green,20,1.15bn,,,Cicero,February 2022
ATRIUM LJUNGBERG AB,Sweden,,Financials - Real estate,Sustainability Linked Bonds,1,0.11bn,,,Cicero,February 2022
ATSINAUIJINANCIOS ENERGETIKOS INVESTICIJOS UAB,Lithuania,,Corporate - Utilities,Green,1,0.10bn,October 2021,https://dl.luxse.com/dl?v=6Ny2mVkXyTm5znSIowf6rx/lsm0q9DMWvHYgFjpAXivCwBY/b2QMAgMXptS32sobmPBc4wnknd7hqSNkxmJX7Ub1yTM29WlhqEKTbKT0eH7NwmaGlKKKxqMrOtdh2NUd,Sustainalytics,October 2021
ATTEND AMBIENTAL SA,Brazil,,Corporate - Utilities,Green,2,0.01bn,October 2019,https://dl.luxse.com/dl?v=Utl6UPZvw66lpAVy/jJsUibN1fyghQxw7pH0dnjURER0R+9XLINyMOmCaHt+DuEwvzl4SB3g90GX7+HB4zpN6ynoIDThK9mAjJnNzP5vTM6ovEaggq+Tg5GpuEtA/tM9,Sitawi,October 2019
AUCKLAND COUNCIL,New Zealand,,SSA - Quasi-sovereigns,Green,9,2.39bn,,,EY,September 2023
AUDAX RENOVABLES SA,Spain,,Corporate - Utilities,Green,2,0.51bn,April 2020,https://dl.luxse.com/dl?v=jKlGfSkajrefl5CNSMnApGOnUFVmsoOpZoK1zyqDh8XZKhEqsLeHIFaQVBnQ5yXe1OZedsVk6u2avif3u59ih58gdHW3Ph0V5CUyo/g9fHQ1lXBIxRqBH1fa+RsKlFJE,V.E,April 2020
AUGSTSPRIEGUMA TIKLS AS,Latvia,,Corporate - Utilities,Green,1,0.12bn,,,S&P,October 2021
AURSKOG SPAREBANK,Norway,,Financials - Banking,Green,1,0.02bn,,,Cicero,May 2022
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,Australia,,Financials - Banking,Sustainability,4,4.00bn,August 2020,https://dl.luxse.com/dl?v=DOzeuXuau8ss101WhgWarqtISOjl60j8Da+yEZ1DO+Crcu0Nj4a6T9J9hGpOvS7kEfjKPyxsBDlzAHy4WsHVyl2y6RiDh6RodnqyinMbVyP2FXSGCFvvHaCb9uZjIeai,EY,August 2020
