Issuer Name,Issuer location,,Issuer sector,Bond type,Bonds per type,Amount issued (USD bn.),Lastest External Review Form,Last Url Form,External  Reviewer,Latest External Review Report
NACKA KOMMUN SWEDEN,Sweden,,SSA - Quasi-sovereigns,Green,6,0.19bn,February 2023,https://dl.luxse.com/dl?v=mEefZs7qhredrdnk3tWWriedAUfFIgafU+rxn7weRnWYom2W8GiRUOVbqPldyK6kZkWjGdCTVCm1jBLcbpP0soMlCBVeze/OnDWhlJnGpvMDaHQyu3ncBn8PMiE7cbV5,Cicero,February 2023
NAGANO PREFECTURE,Japan,,SSA - Quasi-sovereigns,Green,8,0.40bn,,,Japan Credit Rating Agency,August 2023
NAGASE & CO LTD,Japan,,Corporate - Materials,Sustainability Linked Bonds,1,0.07bn,May 2022,https://dl.luxse.com/dl?v=cBGuT2njRqimkWeXHSl+ZhsPFHu3nrSgm+Slp9DKszsfL5VyrD3r+wwX28fzqLkzapNQzISOzRpcoL7oO6O6ZWYR+1MtiGxbtTZlsTCiCNHfqKxc+uR8jmFEQTZ5UkvH,R&I,May 2022
NAGOYA EXPRESSWAY PUBLIC CORP,Japan,,SSA - Quasi-sovereigns,Social,28,1.14bn,October 2023,https://dl.luxse.com/dl?v=7rC9LhWwQpXTrXf/u42lpaJFvAB5Q9eUpmoBtfEygpELJxs5JmRzZGruak4m1OlRujkxrxg1byyPzZtAuAO5hE9ahOua0T3A71aPR1LuHY7SiVMreQE0AsP9/J4FvWzK,Other,October 2023
NAGOYA RAILROAD CO. LTD,Japan,,Corporate - Consumer Discretionary,Sustainability,2,0.16bn,June 2023,https://dl.luxse.com/dl?v=i0Uj0sFCumZZC/OAqdGqlEx7A0oGxq3IXFKpUc735AbfrsnguDzR/oIl4TXMr13eytFrHpiQ53XALXaii7reKSJVdpZmeftZvnkr88EC0Jo3FCD/0CberrAUJaPmL1pz,R&I,June 2023
NANJING ANJU CONSTRUCTION GROUP CO LTD,China (mainland),,Financials - Real estate,Green,2,0.15bn,,,Other,April 2022
NANJING FINANCIAL CITY CONSTRUCTION & DEVELOPMENT CO LTD,China (mainland),,Financials - Real estate,Sustainability Linked Bonds,1,0.24bn,,,Other,December 2021
NANJING JIANGBEI NEW DISTR,China (mainland),,Corporate - Industrials,Sustainability Linked Bonds,1,0.06bn,,,Other,August 2021
NANJING YANGZI STATE-OWNED INVESTMENT GROUP CO LTD,China (mainland),,Corporate - Industrials,Sustainability,1,0.30bn,,,,
NANKAI ELECTRIC RAILWAY CO. LTD,Japan,,Corporate - Consumer Discretionary,Sustainability,1,0.07bn,February 2023,https://dl.luxse.com/dl?v=3OkKQ4aXYI+ckmqEst7kaIOSPw1i2WQ7/LbKWvKJUXmarCQxEisZ0pXGwu45Z+YvFBWMSF0tG3RR5VdgdTnKTPF1DFr3hQoVyBP4No97MBr70fvkmlp8UiWV+p2haGej,R&I,February 2023
NANNING COMMUNICATIONS INVESTMENT GROUP CO LTD,China (mainland),,Corporate - Energy,Sustainability,1,0.30bn,,,Fitch Ratings,April 2024
NANYA TECHNOLOGY CORP.,Taiwan,,Corporate - Technology,Green,1,0.12bn,,,KPMG,December 2023
NANYANG TECHNOLOGICAL UNIVERSITY,Singapore,,Corporate - Consumer Discretionary,Sustainability Linked Bonds,1,0.48bn,,,PwC,October 2021
